time: 456781 	 x: 431 	 y: 154
time: 456796 	 x: 432 	 y: 161
time: 456796 	 x: 433 	 y: 169
time: 456796 	 x: 435 	 y: 178
time: 456796 	 x: 437 	 y: 186
time: 456812 	 x: 439 	 y: 193
time: 456812 	 x: 440 	 y: 199
time: 456812 	 x: 443 	 y: 204
time: 456812 	 x: 446 	 y: 212
time: 456828 	 x: 448 	 y: 219
time: 456828 	 x: 450 	 y: 226
time: 456828 	 x: 452 	 y: 234
time: 456828 	 x: 454 	 y: 241
time: 456843 	 x: 456 	 y: 249
time: 456843 	 x: 457 	 y: 257
time: 456843 	 x: 460 	 y: 265
time: 456843 	 x: 463 	 y: 272
time: 456859 	 x: 466 	 y: 279
time: 456859 	 x: 468 	 y: 286
time: 456859 	 x: 471 	 y: 292
time: 456859 	 x: 473 	 y: 297
time: 456875 	 x: 475 	 y: 303
time: 456875 	 x: 478 	 y: 309
time: 456875 	 x: 481 	 y: 315
time: 456875 	 x: 484 	 y: 321
time: 456890 	 x: 487 	 y: 327
time: 456890 	 x: 490 	 y: 333
time: 456890 	 x: 492 	 y: 339
time: 456890 	 x: 495 	 y: 343
time: 456906 	 x: 498 	 y: 348
time: 456906 	 x: 499 	 y: 352
time: 456906 	 x: 502 	 y: 357
time: 456906 	 x: 505 	 y: 362
time: 456921 	 x: 508 	 y: 366
time: 456921 	 x: 510 	 y: 372
time: 456921 	 x: 513 	 y: 377
time: 456921 	 x: 517 	 y: 383
time: 456937 	 x: 521 	 y: 389
time: 456937 	 x: 525 	 y: 396
time: 456937 	 x: 529 	 y: 403
time: 456953 	 x: 533 	 y: 409
time: 456953 	 x: 537 	 y: 415
time: 456953 	 x: 541 	 y: 421
time: 456953 	 x: 546 	 y: 429
time: 456968 	 x: 550 	 y: 436
time: 456968 	 x: 554 	 y: 443
time: 456968 	 x: 559 	 y: 451
time: 456968 	 x: 563 	 y: 457
time: 456984 	 x: 566 	 y: 465
time: 456984 	 x: 569 	 y: 471
time: 456984 	 x: 573 	 y: 477
time: 456984 	 x: 577 	 y: 483
time: 457000 	 x: 581 	 y: 488
time: 457000 	 x: 585 	 y: 493
time: 457000 	 x: 589 	 y: 496
time: 457000 	 x: 591 	 y: 499
time: 457015 	 x: 595 	 y: 501
time: 457015 	 x: 597 	 y: 503
time: 457015 	 x: 599 	 y: 506
time: 457015 	 x: 601 	 y: 507
time: 457031 	 x: 601 	 y: 508
time: 457031 	 x: 602 	 y: 508
time: 457031 	 x: 603 	 y: 509
time: 457031 	 x: 604 	 y: 509
time: 457046 	 x: 604 	 y: 510
time: 457046 	 x: 605 	 y: 510
time: 457093 	 x: 605 	 y: 510
time: 457171 	 x: 606 	 y: 510
time: 457171 	 x: 608 	 y: 510
time: 457187 	 x: 609 	 y: 509
time: 457187 	 x: 609 	 y: 509
time: 457187 	 x: 611 	 y: 509
time: 457187 	 x: 613 	 y: 507
time: 457203 	 x: 617 	 y: 504
time: 457203 	 x: 622 	 y: 501
time: 457203 	 x: 628 	 y: 494
time: 457203 	 x: 640 	 y: 485
time: 457218 	 x: 656 	 y: 474
time: 457218 	 x: 678 	 y: 460
time: 457218 	 x: 699 	 y: 448
time: 457218 	 x: 725 	 y: 435
time: 457234 	 x: 749 	 y: 423
time: 457234 	 x: 778 	 y: 409
time: 457234 	 x: 806 	 y: 396
time: 457234 	 x: 835 	 y: 380
time: 457250 	 x: 867 	 y: 365
time: 457250 	 x: 898 	 y: 351
time: 457250 	 x: 929 	 y: 337
time: 457250 	 x: 960 	 y: 323
time: 457265 	 x: 988 	 y: 310
time: 457265 	 x: 1017 	 y: 296
time: 457812 	 x: 1035 	 y: 84
time: 457828 	 x: 1031 	 y: 85
time: 457828 	 x: 1025 	 y: 85
time: 457828 	 x: 1021 	 y: 86
time: 457828 	 x: 1017 	 y: 87
time: 457843 	 x: 1013 	 y: 87
time: 457843 	 x: 1010 	 y: 87
time: 457843 	 x: 1007 	 y: 87
time: 457859 	 x: 1005 	 y: 87
time: 457921 	 x: 1004 	 y: 87
time: 457921 	 x: 1003 	 y: 87
time: 457921 	 x: 1002 	 y: 88
time: 457937 	 x: 1001 	 y: 88
time: 457937 	 x: 998 	 y: 90
time: 457937 	 x: 995 	 y: 91
time: 457953 	 x: 992 	 y: 91
time: 457953 	 x: 991 	 y: 92
time: 457953 	 x: 989 	 y: 93
time: 457953 	 x: 987 	 y: 93
time: 457968 	 x: 986 	 y: 93
time: 458281 	 x: 987 	 y: 93
time: 458281 	 x: 989 	 y: 93
time: 458296 	 x: 990 	 y: 93
time: 458312 	 x: 991 	 y: 93
time: 458312 	 x: 992 	 y: 93
time: 458359 	 x: 993 	 y: 93
time: 458375 	 x: 994 	 y: 93
time: 458390 	 x: 995 	 y: 93
time: 458609 	 x: 995 	 y: 93
